valid_time,latitude,longitude,t2m,pm2p5_ugm3,pm10_ugm3,no2_ppb,o3_ppb,r
2020-01-01,43.5,-9.3,285.34473,11.281987,19.53482,5.1077972728128564,32.869948204721,80.97357
2020-01-01,43.5,-8.55,284.0896,9.531007,15.48441,5.068984269636286,30.655601203022435,80.529724
2020-01-01,43.5,-7.800000000000001,283.35107,8.536027,13.082445,4.319642320844943,30.838844056267366,79.0683
2020-01-01,43.5,-7.050000000000001,282.28906,9.1276,13.485813,6.942198170169219,29.157695313995692,76.884705
2020-01-01,43.5,-6.300000000000001,281.57446,9.9981785,14.536624,9.48269098586025,27.415216855648975,75.17816
2020-01-01,43.5,-5.550000000000001,281.54517,9.931899,14.286695,8.118994525420309,28.055253481859076,75.0307
2020-01-01,43.5,-4.800000000000001,281.84644,10.2349415,14.8364525,5.547004861451976,29.244085146371642,76.040955
2020-01-01,43.5,-4.050000000000001,282.23535,9.823388,14.0633,4.766689353385198,28.82200465264594,75.59125
2020-01-01,43.5,-3.3000000000000007,282.86035,9.371493,13.127319,5.567660293218529,26.868384544036875,74.34369
2020-01-01,43.5,-2.5500000000000007,282.9248,9.749269,13.523191,6.281186017860878,25.08420353968043,75.401306
2020-01-01,43.5,-1.8000000000000007,282.2129,10.669002,14.840296,5.54390205995198,25.028431513226412,76.736755
2020-01-01,43.5,-1.0500000000000007,280.57886,12.998687,18.231865,5.232987057751539,24.930628426714637,76.51166
2020-01-01,43.5,-0.3000000000000007,279.2412,14.001383,19.744463,5.894898461163751,23.19893168142057,76.36273
2020-01-01,43.5,0.4499999999999993,279.4026,15.30518,21.6416,6.371734387494967,20.677093883955564,75.875916
2020-01-01,43.5,1.1999999999999993,279.62134,16.526264,23.409857,6.19800254060487,20.610066865043308,76.88812
2020-01-01,43.5,1.9499999999999993,280.2456,16.721739,23.731253,6.0181464575970205,22.38691131485018,80.81976
2020-01-01,43.5,2.7,280.45654,15.34261,21.797174,5.704834879660071,25.19609066269279,81.13422
2020-01-01,42.75,-9.3,285.1267,9.607475,15.498071,5.546631561887378,29.309845477518046,80.00824
2020-01-01,42.75,-8.55,282.6953,8.718501,12.912028,5.5631067791201785,26.374113265126667,81.12689
2020-01-01,42.75,-7.800000000000001,280.02368,9.392344,13.557468,6.041726471041364,25.379216144708803,83.46771
2020-01-01,42.75,-7.050000000000001,278.1294,10.499779,14.923913,9.100888034206768,23.350977450682425,84.25531
2020-01-01,42.75,-6.300000000000001,277.24536,11.224532,15.80754,10.841707428141428,23.271779131891808,83.92621
2020-01-01,42.75,-5.550000000000001,277.1267,11.140383,15.561909,8.983528433050143,24.956488806510247,84.19086
2020-01-01,42.75,-4.800000000000001,277.53223,11.893274,16.522034,6.608036887011014,25.61735393320972,85.04047
2020-01-01,42.75,-4.050000000000001,277.96533,11.832835,16.352867,5.692375639427682,25.846391017914858,84.414
2020-01-01,42.75,-3.3000000000000007,278.57642,11.4301815,15.672182,6.307294308887687,24.367737577762945,82.515564
2020-01-01,42.75,-2.5500000000000007,279.00537,12.222695,16.721693,7.5644982149494595,20.500265765731204,82.50043
2020-01-01,42.75,-1.8000000000000007,278.55566,13.498145,18.576227,7.311463291965943,18.86044004794717,83.38519
2020-01-01,42.75,-1.0500000000000007,277.5891,13.377548,18.519138,5.542521236796733,21.130785236348352,82.76849
2020-01-01,42.75,-0.3000000000000007,276.56323,11.958793,16.619051,4.763731255820262,22.961550434611517,81.55316
2020-01-01,42.75,0.4499999999999993,275.9817,11.787819,16.447096,4.576763345892035,22.73777700767597,80.16058
2020-01-01,42.75,1.1999999999999993,275.48755,13.252798,18.502958,4.634621400962103,22.363371762188834,79.90619
2020-01-01,42.75,1.9499999999999993,276.1211,14.346064,20.053345,4.917826605964985,23.146476085891532,80.38666
2020-01-01,42.75,2.7,280.14575,14.771665,20.807278,4.878818677669648,25.256894765552232,77.24408
2020-01-01,42.0,-9.3,285.6853,9.11259,14.331054,4.759219297103816,30.59003414759886,78.30609
2020-01-01,42.0,-8.55,282.48608,8.303054,12.023818,5.183765562445367,26.565311677662223,79.495056
2020-01-01,42.0,-7.800000000000001,279.406,8.998796,12.724371,5.54331426648573,24.604032188968333,83.94281
2020-01-01,42.0,-7.050000000000001,278.23682,9.963664,13.96025,5.42139972992475,24.78088963242285,85.685974
2020-01-01,42.0,-6.300000000000001,277.8872,10.621587,14.7987795,5.107941754224121,26.261576758012904,85.02338
2020-01-01,42.0,-5.550000000000001,277.76685,11.69558,16.224026,5.175405445300436,26.150434845201513,84.200134
2020-01-01,42.0,-4.800000000000001,277.71826,12.564232,17.363134,5.436854000555016,25.285891784385647,83.68695
2020-01-01,42.0,-4.050000000000001,277.40698,11.874143,16.32728,4.904107066211795,26.651107958799415,83.685
2020-01-01,42.0,-3.3000000000000007,276.95337,11.111964,15.203014,4.181354121833713,27.992796333693928,83.35199
2020-01-01,42.0,-2.5500000000000007,277.00854,11.73386,16.024157,4.626025758867296,25.602684158280574,82.34515
2020-01-01,42.0,-1.8000000000000007,277.78638,12.996661,17.744493,5.6340205952936895,20.49137932851126,80.802185
2020-01-01,42.0,-1.0500000000000007,278.04004,13.198143,18.05516,5.799770036927215,17.616565373849905,79.557556
2020-01-01,42.0,-0.3000000000000007,277.52905,14.309194,19.70254,5.331786931402521,18.322853452808655,78.87103
2020-01-01,42.0,0.4499999999999993,276.75903,13.33829,18.44878,5.210882141881115,20.771601362151834,77.0517
2020-01-01,42.0,1.1999999999999993,276.22192,12.766179,17.675554,6.181352733602806,21.35463188992707,76.06146
