valid_time,model_level,latitude,longitude,no2,go3
2022-01-01 00:00:00,60.0,41.25,-2.0,9.594945e-09,2.4101695e-08
2022-01-01 00:00:00,60.0,41.25,-1.25,9.058056e-09,2.4557522e-08
2022-01-01 00:00:00,60.0,41.25,-0.5,1.1477816e-08,2.2037618e-08
2022-01-01 00:00:00,60.0,41.25,0.25,1.518752e-08,1.45235015e-08
2022-01-01 00:00:00,60.0,41.25,1.0,1.4981492e-08,1.635081e-08
2022-01-01 00:00:00,60.0,41.25,1.75,1.574097e-08,2.4139261e-08
2022-01-01 00:00:00,60.0,41.25,2.5,1.497537e-08,2.8125797e-08
2022-01-01 00:00:00,60.0,41.25,3.25,1.0529224e-08,3.7358447e-08
2022-01-01 00:00:00,60.0,40.5,-9.5,9.715887e-09,3.955593e-08
2022-01-01 00:00:00,60.0,40.5,-8.75,1.27807915e-08,2.6935645e-08
2022-01-01 00:00:00,60.0,40.5,-8.0,1.2992171e-08,1.903124e-08
2022-01-01 00:00:00,60.0,40.5,-7.25,9.26277e-09,2.2934564e-08
2022-01-01 00:00:00,60.0,40.5,-6.5,8.034377e-09,2.8908516e-08
2022-01-01 00:00:00,60.0,40.5,-5.75,1.0141896e-08,2.8434712e-08
2022-01-01 00:00:00,60.0,40.5,-5.0,1.4452539e-08,2.2042009e-08
2022-01-01 00:00:00,60.0,40.5,-4.25,2.0598659e-08,1.304985e-08
2022-01-01 00:00:00,60.0,40.5,-3.5,2.0989496e-08,1.0549166e-08
2022-01-01 00:00:00,60.0,40.5,-2.75,1.4602563e-08,1.6531118e-08
2022-01-01 00:00:00,60.0,40.5,-2.0,8.58563e-09,2.5232794e-08
2022-01-01 00:00:00,60.0,40.5,-1.25,8.577995e-09,2.8387475e-08
2022-01-01 00:00:00,60.0,40.5,-0.5,1.2547574e-08,2.298804e-08
2022-01-01 00:00:00,60.0,40.5,0.25,1.3784785e-08,2.241567e-08
2022-01-01 00:00:00,60.0,40.5,1.0,7.031296e-09,3.7304645e-08
2022-01-01 00:00:00,60.0,40.5,1.75,5.7715392e-09,4.3849674e-08
2022-01-01 00:00:00,60.0,40.5,2.5,5.7448903e-09,4.7772126e-08
2022-01-01 00:00:00,60.0,40.5,3.25,4.3509654e-09,5.112809e-08
2022-01-01 00:00:00,60.0,39.75,-9.5,8.68803e-09,3.9269928e-08
2022-01-01 00:00:00,60.0,39.75,-8.75,1.0283266e-08,2.9261635e-08
2022-01-01 00:00:00,60.0,39.75,-8.0,9.323806e-09,2.5059506e-08
2022-01-01 00:00:00,60.0,39.75,-7.25,6.4771437e-09,2.8874055e-08
2022-01-01 00:00:00,60.0,39.75,-6.5,7.2636577e-09,2.8145138e-08
2022-01-01 00:00:00,60.0,39.75,-5.75,8.871275e-09,2.4861635e-08
2022-01-01 00:00:00,60.0,39.75,-5.0,1.085224e-08,2.0415342e-08
2022-01-01 00:00:00,60.0,39.75,-4.25,1.3636356e-08,1.5632587e-08
2022-01-01 00:00:00,60.0,39.75,-3.5,1.3689547e-08,1.501624e-08
2022-01-01 00:00:00,60.0,39.75,-2.75,1.2830885e-08,1.8035863e-08
2022-01-01 00:00:00,60.0,39.75,-2.0,1.5459264e-08,1.9403053e-08
2022-01-01 00:00:00,60.0,39.75,-1.25,1.6673958e-08,2.0005672e-08
2022-01-01 00:00:00,60.0,39.75,-0.5,1.3881323e-08,2.512025e-08
2022-01-01 00:00:00,60.0,39.75,0.25,1.155599e-08,3.4697415e-08
2022-01-01 00:00:00,60.0,39.75,1.0,5.6049774e-09,4.6687916e-08
2022-01-01 00:00:00,60.0,39.75,1.75,3.758806e-09,5.1842378e-08
2022-01-01 00:00:00,60.0,39.75,2.5,3.8603853e-09,5.3951666e-08
2022-01-01 00:00:00,60.0,39.75,3.25,3.7806127e-09,5.5349254e-08
2022-01-01 00:00:00,60.0,39.0,-9.5,1.4562392e-08,3.3110894e-08
2022-01-01 00:00:00,60.0,39.0,-8.75,1.4060461e-08,2.7360386e-08
2022-01-01 00:00:00,60.0,39.0,-8.0,7.546358e-09,2.8784434e-08
2022-01-01 00:00:00,60.0,39.0,-7.25,7.334051e-09,2.66742e-08
2022-01-01 00:00:00,60.0,39.0,-6.5,8.428518e-09,2.3899823e-08
2022-01-01 00:00:00,60.0,39.0,-5.75,8.289934e-09,2.2371424e-08
2022-01-01 00:00:00,60.0,39.0,-5.0,8.812659e-09,2.1655381e-08
2022-01-01 00:00:00,60.0,39.0,-4.25,1.028026e-08,2.0814625e-08
2022-01-01 00:00:00,60.0,39.0,-3.5,1.0295114e-08,2.2524304e-08
2022-01-01 00:00:00,60.0,39.0,-2.75,9.662585e-09,2.5687136e-08
2022-01-01 00:00:00,60.0,39.0,-2.0,1.0886982e-08,2.5256767e-08
2022-01-01 00:00:00,60.0,39.0,-1.25,1.3277454e-08,2.1508875e-08
2022-01-01 00:00:00,60.0,39.0,-0.5,1.3109382e-08,2.7517025e-08
2022-01-01 00:00:00,60.0,39.0,0.25,7.920303e-09,4.752198e-08
2022-01-01 00:00:00,60.0,39.0,1.0,3.2905514e-09,5.7088748e-08
2022-01-01 00:00:00,60.0,39.0,1.75,2.170967e-09,6.011936e-08
2022-01-01 00:00:00,60.0,39.0,2.5,1.8954682e-09,6.117925e-08
2022-01-01 00:00:00,60.0,39.0,3.25,1.6964489e-09,6.21306e-08
2022-01-01 00:00:00,60.0,38.25,-9.5,1.0024863e-08,3.9110894e-08
2022-01-01 00:00:00,60.0,38.25,-8.75,9.846463e-09,3.157143e-08
2022-01-01 00:00:00,60.0,38.25,-8.0,7.165457e-09,2.7663226e-08
2022-01-01 00:00:00,60.0,38.25,-7.25,6.987587e-09,2.4798908e-08
2022-01-01 00:00:00,60.0,38.25,-6.5,8.373032e-09,2.153051e-08
2022-01-01 00:00:00,60.0,38.25,-5.75,9.748845e-09,1.9223677e-08
2022-01-01 00:00:00,60.0,38.25,-5.0,1.07171125e-08,1.7985002e-08
2022-01-01 00:00:00,60.0,38.25,-4.25,1.0366826e-08,1.8570596e-08
2022-01-01 00:00:00,60.0,38.25,-3.5,9.516221e-09,2.2125285e-08
2022-01-01 00:00:00,60.0,38.25,-2.75,8.581715e-09,2.5299471e-08
2022-01-01 00:00:00,60.0,38.25,-2.0,9.88825e-09,2.379565e-08
2022-01-01 00:00:00,60.0,38.25,-1.25,1.4173455e-08,2.1673173e-08
2022-01-01 00:00:00,60.0,38.25,-0.5,1.29582745e-08,3.4084344e-08
2022-01-01 00:00:00,60.0,38.25,0.25,4.392852e-09,5.7069947e-08
2022-01-01 00:00:00,60.0,38.25,1.0,2.2655438e-09,6.3427485e-08
2022-01-01 00:00:00,60.0,38.25,1.75,1.7159e-09,6.585129e-08
2022-01-01 00:00:00,60.0,38.25,2.5,1.3412308e-09,6.7395995e-08
2022-01-01 00:00:00,60.0,38.25,3.25,1.1234352e-09,6.894988e-08
2022-01-01 00:00:00,60.0,37.5,-9.5,1.077639e-08,4.455874e-08
2022-01-01 00:00:00,60.0,37.5,-8.75,1.3806343e-08,3.4912865e-08
