valid_time,pressure_level,latitude,longitude,r
2024-01-01 00:00:00,1000.0,40.5,1.75,63.236984
2024-01-01 00:00:00,1000.0,40.5,2.5,67.07683
2024-01-01 00:00:00,1000.0,40.5,3.25,69.606125
2024-01-01 00:00:00,1000.0,39.75,-9.5,77.61882
2024-01-01 00:00:00,1000.0,39.75,-8.75,80.54167
2024-01-01 00:00:00,1000.0,39.75,-8.0,86.38347
2024-01-01 00:00:00,1000.0,39.75,-7.25,87.53874
2024-01-01 00:00:00,1000.0,39.75,-6.5,84.765305
2024-01-01 00:00:00,1000.0,39.75,-5.75,85.42546
2024-01-01 00:00:00,1000.0,39.75,-5.0,87.65495
2024-01-01 00:00:00,1000.0,39.75,-4.25,87.52214
2024-01-01 00:00:00,1000.0,39.75,-3.5,85.833664
2024-01-01 00:00:00,1000.0,39.75,-2.75,85.597336
2024-01-01 00:00:00,1000.0,39.75,-2.0,86.9948
2024-01-01 00:00:00,1000.0,39.75,-1.25,83.05925
2024-01-01 00:00:00,1000.0,39.75,-0.5,72.918625
2024-01-01 00:00:00,1000.0,39.75,0.25,64.76726
2024-01-01 00:00:00,1000.0,39.75,1.0,61.97722
2024-01-01 00:00:00,1000.0,39.75,1.75,64.481125
2024-01-01 00:00:00,1000.0,39.75,2.5,69.156906
2024-01-01 00:00:00,1000.0,39.75,3.25,70.61394
2024-01-01 00:00:00,1000.0,39.0,-9.5,78.35417
2024-01-01 00:00:00,1000.0,39.0,-8.75,79.2448
2024-01-01 00:00:00,1000.0,39.0,-8.0,82.396164
2024-01-01 00:00:00,1000.0,39.0,-7.25,85.156906
2024-01-01 00:00:00,1000.0,39.0,-6.5,85.33562
2024-01-01 00:00:00,1000.0,39.0,-5.75,86.481125
2024-01-01 00:00:00,1000.0,39.0,-5.0,88.24284
2024-01-01 00:00:00,1000.0,39.0,-4.25,87.52214
2024-01-01 00:00:00,1000.0,39.0,-3.5,85.20769
2024-01-01 00:00:00,1000.0,39.0,-2.75,83.85417
2024-01-01 00:00:00,1000.0,39.0,-2.0,83.15202
2024-01-01 00:00:00,1000.0,39.0,-1.25,78.04265
2024-01-01 00:00:00,1000.0,39.0,-0.5,68.04558
2024-01-01 00:00:00,1000.0,39.0,0.25,60.5739
2024-01-01 00:00:00,1000.0,39.0,1.0,59.7614
2024-01-01 00:00:00,1000.0,39.0,1.75,63.844406
2024-01-01 00:00:00,1000.0,39.0,2.5,67.9987
2024-01-01 00:00:00,1000.0,39.0,3.25,69.20085
2024-01-01 00:00:00,1000.0,38.25,-9.5,77.574875
2024-01-01 00:00:00,1000.0,38.25,-8.75,77.3698
2024-01-01 00:00:00,1000.0,38.25,-8.0,80.26335
2024-01-01 00:00:00,1000.0,38.25,-7.25,85.71257
2024-01-01 00:00:00,1000.0,38.25,-6.5,86.88542
2024-01-01 00:00:00,1000.0,38.25,-5.75,86.29558
2024-01-01 00:00:00,1000.0,38.25,-5.0,87.59636
2024-01-01 00:00:00,1000.0,38.25,-4.25,86.26042
2024-01-01 00:00:00,1000.0,38.25,-3.5,82.58952
2024-01-01 00:00:00,1000.0,38.25,-2.75,81.333664
2024-01-01 00:00:00,1000.0,38.25,-2.0,80.17644
2024-01-01 00:00:00,1000.0,38.25,-1.25,73.8698
2024-01-01 00:00:00,1000.0,38.25,-0.5,65.04753
2024-01-01 00:00:00,1000.0,38.25,0.25,60.103195
2024-01-01 00:00:00,1000.0,38.25,1.0,60.3864
2024-01-01 00:00:00,1000.0,38.25,1.75,63.736984
2024-01-01 00:00:00,1000.0,38.25,2.5,66.194016
2024-01-01 00:00:00,1000.0,38.25,3.25,66.28386
2024-01-01 00:00:00,1000.0,37.5,-9.5,75.4323
2024-01-01 00:00:00,1000.0,37.5,-8.75,75.500656
2024-01-01 00:00:00,1000.0,37.5,-8.0,77.19597
2024-01-01 00:00:00,1000.0,37.5,-7.25,79.452805
2024-01-01 00:00:00,1000.0,37.5,-6.5,77.790695
2024-01-01 00:00:00,1000.0,37.5,-5.75,78.6071
2024-01-01 00:00:00,1000.0,37.5,-5.0,85.162766
2024-01-01 00:00:00,1000.0,37.5,-4.25,86.53386
2024-01-01 00:00:00,1000.0,37.5,-3.5,80.87175
2024-01-01 00:00:00,1000.0,37.5,-2.75,77.11003
2024-01-01 00:00:00,1000.0,37.5,-2.0,74.2321
2024-01-01 00:00:00,1000.0,37.5,-1.25,66.59636
2024-01-01 00:00:00,1000.0,37.5,-0.5,59.45671
2024-01-01 00:00:00,1000.0,37.5,0.25,58.869797
2024-01-01 00:00:00,1000.0,37.5,1.0,60.75847
2024-01-01 00:00:00,1000.0,37.5,1.75,61.491867
2024-01-01 00:00:00,1000.0,37.5,2.5,61.802414
2024-01-01 00:00:00,1000.0,37.5,3.25,62.28972
2024-01-01 00:00:00,1000.0,36.75,-9.5,74.393234
2024-01-01 00:00:00,1000.0,36.75,-8.75,74.29851
2024-01-01 00:00:00,1000.0,36.75,-8.0,73.765305
2024-01-01 00:00:00,1000.0,36.75,-7.25,71.80925
2024-01-01 00:00:00,1000.0,36.75,-6.5,69.62761
2024-01-01 00:00:00,1000.0,36.75,-5.75,74.01042
2024-01-01 00:00:00,1000.0,36.75,-5.0,81.17839
2024-01-01 00:00:00,1000.0,36.75,-4.25,80.89909
2024-01-01 00:00:00,1000.0,36.75,-3.5,75.52312
2024-01-01 00:00:00,1000.0,36.75,-2.75,70.952805
2024-01-01 00:00:00,1000.0,36.75,-2.0,66.458664
2024-01-01 00:00:00,1000.0,36.75,-1.25,61.57585
2024-01-01 00:00:00,1000.0,36.75,-0.5,59.2946
2024-01-01 00:00:00,1000.0,36.75,0.25,60.856125
2024-01-01 00:00:00,1000.0,36.75,1.0,61.88542
2024-01-01 00:00:00,1000.0,36.75,1.75,59.82097
2024-01-01 00:00:00,1000.0,36.75,2.5,58.944016
2024-01-01 00:00:00,1000.0,36.75,3.25,62.24382
2024-01-01 00:00:00,1000.0,36.0,-9.5,73.250656
2024-01-01 00:00:00,1000.0,36.0,-8.75,71.665695
2024-01-01 00:00:00,1000.0,36.0,-8.0,70.48796
2024-01-01 00:00:00,1000.0,36.0,-7.25,67.59245
2024-01-01 00:00:00,1000.0,36.0,-6.5,67.11589
2024-01-01 00:00:00,1000.0,36.0,-5.75,74.32292
2024-01-01 00:00:00,1000.0,36.0,-5.0,76.80534
2024-01-01 00:00:00,1000.0,36.0,-4.25,69.03972
2024-01-01 00:00:00,1000.0,36.0,-3.5,63.628586
2024-01-01 00:00:00,1000.0,36.0,-2.75,62.455734
2024-01-01 00:00:00,1000.0,36.0,-2.0,61.035812
2024-01-01 00:00:00,1000.0,36.0,-1.25,62.098312
2024-01-01 00:00:00,1000.0,36.0,-0.5,63.24382
2024-01-01 00:00:00,1000.0,36.0,0.25,62.938156
2024-01-01 00:00:00,1000.0,36.0,1.0,65.225266
2024-01-01 00:00:00,1000.0,36.0,1.75,66.84343
2024-01-01 00:00:00,1000.0,36.0,2.5,66.287766
2024-01-01 00:00:00,1000.0,36.0,3.25,68.734055
2024-01-01 03:00:00,1000.0,43.5,-9.5,78.97485
2024-01-01 03:00:00,1000.0,43.5,-8.75,78.87329
2024-01-01 03:00:00,1000.0,43.5,-8.0,78.04224
2024-01-01 03:00:00,1000.0,43.5,-7.25,75.92212
2024-01-01 03:00:00,1000.0,43.5,-6.5,75.05493
2024-01-01 03:00:00,1000.0,43.5,-5.75,75.72583
2024-01-01 03:00:00,1000.0,43.5,-5.0,76.05591
2024-01-01 03:00:00,1000.0,43.5,-4.25,75.57056
2024-01-01 03:00:00,1000.0,43.5,-3.5,74.74927
2024-01-01 03:00:00,1000.0,43.5,-2.75,75.33618
2024-01-01 03:00:00,1000.0,43.5,-2.0,77.403564
2024-01-01 03:00:00,1000.0,43.5,-1.25,79.02368
2024-01-01 03:00:00,1000.0,43.5,-0.5,80.87036
2024-01-01 03:00:00,1000.0,43.5,0.25,82.303955
2024-01-01 03:00:00,1000.0,43.5,1.0,82.78247
2024-01-01 03:00:00,1000.0,43.5,1.75,86.0686
2024-01-01 03:00:00,1000.0,43.5,2.5,88.00513
2024-01-01 03:00:00,1000.0,43.5,3.25,81.3938
2024-01-01 03:00:00,1000.0,42.75,-9.5,78.31763
2024-01-01 03:00:00,1000.0,42.75,-8.75,81.46509
2024-01-01 03:00:00,1000.0,42.75,-8.0,87.263916
2024-01-01 03:00:00,1000.0,42.75,-7.25,90.16528
2024-01-01 03:00:00,1000.0,42.75,-6.5,90.678955
2024-01-01 03:00:00,1000.0,42.75,-5.75,91.47583
2024-01-01 03:00:00,1000.0,42.75,-5.0,91.72974
2024-01-01 03:00:00,1000.0,42.75,-4.25,91.20923
2024-01-01 03:00:00,1000.0,42.75,-3.5,89.591064
2024-01-01 03:00:00,1000.0,42.75,-2.75,88.13208
2024-01-01 03:00:00,1000.0,42.75,-2.0,89.0813
2024-01-01 03:00:00,1000.0,42.75,-1.25,90.44946
2024-01-01 03:00:00,1000.0,42.75,-0.5,90.809814
2024-01-01 03:00:00,1000.0,42.75,0.25,90.57056
2024-01-01 03:00:00,1000.0,42.75,1.0,89.934814
2024-01-01 03:00:00,1000.0,42.75,1.75,90.06665
2024-01-01 03:00:00,1000.0,42.75,2.5,86.26196
2024-01-01 03:00:00,1000.0,42.75,3.25,76.11841
2024-01-01 03:00:00,1000.0,42.0,-9.5,76.6311
2024-01-01 03:00:00,1000.0,42.0,-8.75,80.05786
2024-01-01 03:00:00,1000.0,42.0,-8.0,89.1604
2024-01-01 03:00:00,1000.0,42.0,-7.25,93.3811
2024-01-01 03:00:00,1000.0,42.0,-6.5,91.74536
2024-01-01 03:00:00,1000.0,42.0,-5.75,90.43091
2024-01-01 03:00:00,1000.0,42.0,-5.0,89.7854
2024-01-01 03:00:00,1000.0,42.0,-4.25,90.37036
2024-01-01 03:00:00,1000.0,42.0,-3.5,91.15259
2024-01-01 03:00:00,1000.0,42.0,-2.75,89.53735
2024-01-01 03:00:00,1000.0,42.0,-2.0,87.468994
2024-01-01 03:00:00,1000.0,42.0,-1.25,86.57056
2024-01-01 03:00:00,1000.0,42.0,-0.5,87.09009
2024-01-01 03:00:00,1000.0,42.0,0.25,87.52954
2024-01-01 03:00:00,1000.0,42.0,1.0,85.91333
2024-01-01 03:00:00,1000.0,42.0,1.75,85.09595
2024-01-01 03:00:00,1000.0,42.0,2.5,82.66724
2024-01-01 03:00:00,1000.0,42.0,3.25,74.372314
2024-01-01 03:00:00,1000.0,41.25,-9.5,75.20337
2024-01-01 03:00:00,1000.0,41.25,-8.75,79.17114
2024-01-01 03:00:00,1000.0,41.25,-8.0,90.4397
2024-01-01 03:00:00,1000.0,41.25,-7.25,94.34497
2024-01-01 03:00:00,1000.0,41.25,-6.5,90.716064
2024-01-01 03:00:00,1000.0,41.25,-5.75,89.40747
2024-01-01 03:00:00,1000.0,41.25,-5.0,89.28735
2024-01-01 03:00:00,1000.0,41.25,-4.25,89.79614
2024-01-01 03:00:00,1000.0,41.25,-3.5,91.64575
2024-01-01 03:00:00,1000.0,41.25,-2.75,91.44556
2024-01-01 03:00:00,1000.0,41.25,-2.0,88.94263
2024-01-01 03:00:00,1000.0,41.25,-1.25,85.76782
2024-01-01 03:00:00,1000.0,41.25,-0.5,83.42993
2024-01-01 03:00:00,1000.0,41.25,0.25,79.85376
2024-01-01 03:00:00,1000.0,41.25,1.0,72.9104
2024-01-01 03:00:00,1000.0,41.25,1.75,70.26099
2024-01-01 03:00:00,1000.0,41.25,2.5,72.98462
2024-01-01 03:00:00,1000.0,41.25,3.25,71.88306
2024-01-01 03:00:00,1000.0,40.5,-9.5,76.37134
2024-01-01 03:00:00,1000.0,40.5,-8.75,80.360596
2024-01-01 03:00:00,1000.0,40.5,-8.0,90.7063
2024-01-01 03:00:00,1000.0,40.5,-7.25,93.14575
2024-01-01 03:00:00,1000.0,40.5,-6.5,88.650635
2024-01-01 03:00:00,1000.0,40.5,-5.75,88.34985
2024-01-01 03:00:00,1000.0,40.5,-5.0,89.531494
2024-01-01 03:00:00,1000.0,40.5,-4.25,89.13013
2024-01-01 03:00:00,1000.0,40.5,-3.5,89.034424
2024-01-01 03:00:00,1000.0,40.5,-2.75,89.39868
2024-01-01 03:00:00,1000.0,40.5,-2.0,90.04907
2024-01-01 03:00:00,1000.0,40.5,-1.25,87.93091
2024-01-01 03:00:00,1000.0,40.5,-0.5,82.70923
2024-01-01 03:00:00,1000.0,40.5,0.25,76.14087
2024-01-01 03:00:00,1000.0,40.5,1.0,68.02466
2024-01-01 03:00:00,1000.0,40.5,1.75,64.5188
2024-01-01 03:00:00,1000.0,40.5,2.5,67.33716
2024-01-01 03:00:00,1000.0,40.5,3.25,69.09204
2024-01-01 03:00:00,1000.0,39.75,-9.5,78.42407
2024-01-01 03:00:00,1000.0,39.75,-8.75,81.46802
2024-01-01 03:00:00,1000.0,39.75,-8.0,88.79028
2024-01-01 03:00:00,1000.0,39.75,-7.25,90.67993
2024-01-01 03:00:00,1000.0,39.75,-6.5,86.9436
2024-01-01 03:00:00,1000.0,39.75,-5.75,86.88599
2024-01-01 03:00:00,1000.0,39.75,-5.0,89.03052
2024-01-01 03:00:00,1000.0,39.75,-4.25,89.427
2024-01-01 03:00:00,1000.0,39.75,-3.5,88.70239
2024-01-01 03:00:00,1000.0,39.75,-2.75,88.39868
2024-01-01 03:00:00,1000.0,39.75,-2.0,88.99927
2024-01-01 03:00:00,1000.0,39.75,-1.25,84.802
2024-01-01 03:00:00,1000.0,39.75,-0.5,74.841064
2024-01-01 03:00:00,1000.0,39.75,0.25,66.778564
2024-01-01 03:00:00,1000.0,39.75,1.0,63.764893
2024-01-01 03:00:00,1000.0,39.75,1.75,65.83716
2024-01-01 03:00:00,1000.0,39.75,2.5,69.82056
2024-01-01 03:00:00,1000.0,39.75,3.25,70.891846
2024-01-01 03:00:00,1000.0,39.0,-9.5,78.82153
2024-01-01 03:00:00,1000.0,39.0,-8.75,79.78052
2024-01-01 03:00:00,1000.0,39.0,-8.0,84.54419
2024-01-01 03:00:00,1000.0,39.0,-7.25,88.66821
2024-01-01 03:00:00,1000.0,39.0,-6.5,87.9397
2024-01-01 03:00:00,1000.0,39.0,-5.75,88.09009
2024-01-01 03:00:00,1000.0,39.0,-5.0,90.20532
2024-01-01 03:00:00,1000.0,39.0,-4.25,90.42993
2024-01-01 03:00:00,1000.0,39.0,-3.5,88.73364
2024-01-01 03:00:00,1000.0,39.0,-2.75,87.21802
2024-01-01 03:00:00,1000.0,39.0,-2.0,86.41724
2024-01-01 03:00:00,1000.0,39.0,-1.25,81.534424
2024-01-01 03:00:00,1000.0,39.0,-0.5,71.54028
2024-01-01 03:00:00,1000.0,39.0,0.25,63.829346
2024-01-01 03:00:00,1000.0,39.0,1.0,62.327393
2024-01-01 03:00:00,1000.0,39.0,1.75,65.37036
2024-01-01 03:00:00,1000.0,39.0,2.5,68.75122
2024-01-01 03:00:00,1000.0,39.0,3.25,70.00122
2024-01-01 03:00:00,1000.0,38.25,-9.5,77.57056
2024-01-01 03:00:00,1000.0,38.25,-8.75,77.82837
2024-01-01 03:00:00,1000.0,38.25,-8.0,82.312744
2024-01-01 03:00:00,1000.0,38.25,-7.25,88.65845
2024-01-01 03:00:00,1000.0,38.25,-6.5,89.3479
2024-01-01 03:00:00,1000.0,38.25,-5.75,89.04028
2024-01-01 03:00:00,1000.0,38.25,-5.0,90.96704
2024-01-01 03:00:00,1000.0,38.25,-4.25,89.857666
2024-01-01 03:00:00,1000.0,38.25,-3.5,86.838135
2024-01-01 03:00:00,1000.0,38.25,-2.75,86.05493
2024-01-01 03:00:00,1000.0,38.25,-2.0,84.83716
2024-01-01 03:00:00,1000.0,38.25,-1.25,78.11255
2024-01-01 03:00:00,1000.0,38.25,-0.5,68.5647
2024-01-01 03:00:00,1000.0,38.25,0.25,63.223877
2024-01-01 03:00:00,1000.0,38.25,1.0,62.966064
2024-01-01 03:00:00,1000.0,38.25,1.75,65.096924
2024-01-01 03:00:00,1000.0,38.25,2.5,66.687744
2024-01-01 03:00:00,1000.0,38.25,3.25,66.963135
2024-01-01 03:00:00,1000.0,37.5,-9.5,75.516846
2024-01-01 03:00:00,1000.0,37.5,-8.75,76.31763
2024-01-01 03:00:00,1000.0,37.5,-8.0,79.306885
2024-01-01 03:00:00,1000.0,37.5,-7.25,81.65454
2024-01-01 03:00:00,1000.0,37.5,-6.5,79.846924
2024-01-01 03:00:00,1000.0,37.5,-5.75,82.27661
2024-01-01 03:00:00,1000.0,37.5,-5.0,89.4436
2024-01-01 03:00:00,1000.0,37.5,-4.25,90.09009
2024-01-01 03:00:00,1000.0,37.5,-3.5,85.784424
2024-01-01 03:00:00,1000.0,37.5,-2.75,83.28052
2024-01-01 03:00:00,1000.0,37.5,-2.0,78.97876
2024-01-01 03:00:00,1000.0,37.5,-1.25,69.7688
2024-01-01 03:00:00,1000.0,37.5,-0.5,62.267822
2024-01-01 03:00:00,1000.0,37.5,0.25,61.443604
2024-01-01 03:00:00,1000.0,37.5,1.0,62.56372
2024-01-01 03:00:00,1000.0,37.5,1.75,62.489502
2024-01-01 03:00:00,1000.0,37.5,2.5,62.686768
2024-01-01 03:00:00,1000.0,37.5,3.25,63.54712
2024-01-01 03:00:00,1000.0,36.75,-9.5,74.718994
2024-01-01 03:00:00,1000.0,36.75,-8.75,75.4397
2024-01-01 03:00:00,1000.0,36.75,-8.0,76.159424
2024-01-01 03:00:00,1000.0,36.75,-7.25,74.22388
2024-01-01 03:00:00,1000.0,36.75,-6.5,71.159424
2024-01-01 03:00:00,1000.0,36.75,-5.75,76.32739
